product_id,product_name,product_category,product_category_tree,usage,specification,description,image_urls,product_url
1872,Dung dịch vệ sinh vùng kín Bimunica 250ml dành cho bé gái từ 0 tháng tuổi ,Chăm sóc cơ thể,Dược mỹ phẩm>>Chăm sóc cơ thể,"Sản phẩm được thiết kế riêng giúp làm sạch vùng kín, duy trì hàng rào bảo vệ tự nhiên và ngăn ngừa kích ứng và các bệnh âm đạo.",Hoa Kỳ,,https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09568_adc7da8783.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09572_a8385ab286.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09569_b99740d53a.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09570_5312e03734.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09571_c3ed26f253.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09573_2b5c9dbe4e.jpg,https://nhathuoclongchau.com.vn/duoc-my-pham/dung-dich-ve-sinh-bimunica-250-ml-danh-cho-be-gai.html
1873,"Kem giảm thâm vùng nách, mông, bikini Neothera Armpit Cream La Beaute 35ml dưỡng trắng da",Chăm sóc cơ thể,Dược mỹ phẩm>>Chăm sóc cơ thể,"Dưỡng trắng da, cân bằng màu da, đặc biệt vùng da nách, mông, vùng bikini, đầu gối, khuỷu tay... ",Việt Nam,,https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09383_341ff381a1.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09381_e610619c93.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09375_7a245a40a3.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09376_fc34dde5a3.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09377_1eb31b655c.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09379_41017395f8.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09380_d35a5700ef.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09384_1087fcbba0.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09387_f7a543a74d.jpg,https://nhathuoclongchau.com.vn/duoc-my-pham/kem-giam-tham-vung-nach-mong-bikini-neothera-armpit-cream-35-ml.html
1874,Gel rửa mặt SVR Sebiaclear Gel Moussant 200ml làm sạch không chứa xà phòng và loại bỏ tế bào da chết ,Chăm sóc cơ thể,Dược mỹ phẩm>>Chăm sóc cơ thể,"Gel rửa mặt dành cho da dầu, giúp làm sạch tế bào da chết, bụi bẩn và làm thông thoáng lỗ chân lộng của da. ",Pháp,,https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_05449_a1d9fce6f5.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_05451_f85004c6c7.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/cu_moi_291a7bb925.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_05450_ffb885a719.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_05452_afe2266435.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_05453_c30a7eab3b.jpg,https://nhathuoclongchau.com.vn/duoc-my-pham/gel-lam-sach-va-loai-bo-te-bao-chet-khong-chua-xa-phong-svr-sebiaclear-gel-moussant-200-ml-new.html
1875,"Bọt vệ sinh nam giới Sumely Men's Sanitary Foam giúp làm sạch, khử và ngăn chặn mùi vùng kín (100ml)","Lăn khử mùi, xịt khử mùi","Dược mỹ phẩm>>Chăm sóc cơ thể>>Lăn khử mùi, xịt khử mùi",Vệ sinh cơ quan sinh dục ngoài.,Dạng bọt,Việt Nam,https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_02435_46062321f2.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_02429_d00dbc36ab.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_02430_84be953d85.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_02432_71b936388d.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_02433_14f7d3e32a.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_02436_7af11a0bad.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_02437_15c97051ec.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_02438_c2430677e7.jpg,https://nhathuoclongchau.com.vn/duoc-my-pham/bot-ve-sinh-nam-gioi-lam-sach-khu-va-ngan-mui-thom-mat-sumely-men-s-sanitary-foam-100-ml.html
1876,"Nước tẩy trang JMsolution Water Luminous S.O.S Ringer Cleansing Water giúp làm sạch bụi bẩn, dầu thừa và lớp trang điểm (500ml)","Nước tẩy trang, dầu tẩy trang","Dược mỹ phẩm>>Chăm sóc da mặt>>Nước tẩy trang, dầu tẩy trang","Sản phẩm tẩy trang giúp làm sạch bụi bẩn, dầu thừa và lớp trang điểm trên da, giúp cung cấp độ ẩm cho da, giúp da sạch mịn.",Hàn Quốc,,https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_04746_0feb134eb7.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_04745_5829a07269.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_04747_f609212553.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_04748_195197cbff.jpg,https://nhathuoclongchau.com.vn/duoc-my-pham/jmsolution-water-luminous-s-o-s-ringer-cleansing-water-500-ml-nuoc-tay-trang-lam-sach-sau-va-cap-am.html
1877,"Mặt nạ Marine Luminous Pearl Deep Moisture Mask Peal JMsolution tăng cường dưỡng ẩm, dưỡng trắng (30ml)",Mặt nạ,Dược mỹ phẩm>>Chăm sóc da mặt>>Mặt nạ,Bộ sản phẩm chăm sóc cho da bao gồm: ,Hàn Quốc,,https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_04765_fab02bb13a.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_04762_466e05a9f5.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_04766_011c53e5bb.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_04768_1fa9fe049d.jpg,https://nhathuoclongchau.com.vn/duoc-my-pham/jmsolution-marine-luminous-pearl-deep-moisture-mask-peal-30-ml-mat-na-chiet-xuat-ngoc-trai-cap-am-chuyen-sau.html
1878,"Gel làm mờ sẹo Fixderma Scars do mụn, bỏng, rạn da, vết thươngl (7ml)","Trị sẹo, mờ vết thâm","Dược mỹ phẩm>>Giải pháp làn da>>Trị sẹo, mờ vết thâm","Gel dưỡng da, giúp làm mờ vết thâm do sẹo. Làm mềm và mịn da vùng sẹo.",Mỹ,,https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_04121_98d624a190.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_04115_92307e07b0.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_04116_28d1ac59b8.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_04117_64f41e105c.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_04118_5f73256fbc.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_04119_451b64ac0c.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_04122_be8d8ca988.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_04123_07bf1f7fe9.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/fixderma_gel_7ml_88df7c8222.jpg,https://nhathuoclongchau.com.vn/duoc-my-pham/kem-boi-seo-fixderma-scar-gel-7-ml.html
1879,Gội phủ bạc Healthy and lively H4 Lavox màu nâu cà phê (10 gói x 30ml),Dầu gội dầu xả,Dược mỹ phẩm>>Chăm sóc tóc - da đầu>>Dầu gội dầu xả,"Sản phẩm dùng để gội phủ màu tóc bạc với tông màu tự nhiên, phù hợp cho nam và nữ.",Dung dịch,,https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_07751_33ccad56ea.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_07745_b997a3fdbc.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_07746_9bfde4bc7b.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_07748_f332aa82d1.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_07749_01d28bfd7b.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_07750_7134d17927.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_07752_098668b9cd.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_07753_178e3927fc.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_07754_764897b576.jpg,https://nhathuoclongchau.com.vn/duoc-my-pham/goi-phu-bac-healthy-and-lively-lavox-mau-nau-ca-phe-h4-10-goi-x-30-ml.html
1880,Gội phủ bạc Healthy and lively H1 Lavox màu đen (10 gói x 30ml),Dầu gội dầu xả,Dược mỹ phẩm>>Chăm sóc tóc - da đầu>>Dầu gội dầu xả,"Sản phẩm dùng để gội phủ màu tóc bạc với tông màu tự nhiên, phù hợp cho nam và nữ.",Dung dịch,,https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_07740_9efb68cd47.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_077331_de99eb90a6.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_07734_a39ca4bd54.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_07736_dace247a01.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_07737_b80e2fc32e.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_07738_b09b6fdee4.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_07741_a092f983dd.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_07742_1726092ff9.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_07744_c149ccc808.jpg,https://nhathuoclongchau.com.vn/duoc-my-pham/goi-phu-bac-healthy-and-lively-lavox-mau-den-h1-10-goi-x-30-ml.html
1881,Sữa tắm giảm mụn lưng Neo Acnes tinh chất tràm trà (250ml),"Sữa tắm, xà bông","Dược mỹ phẩm>>Chăm sóc cơ thể>>Sữa tắm, xà bông","Làm sạch da toàn thân, loại bỏ bụi bẩn, nhờn thừa, tế bào chết trên da, làm thông thoáng lỗ chân lông.",Dung dịch,Việt Nam,https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_06904_49a4cf5356.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_06896_f4fa96ce7e.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_06897_18632a5f0d.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_06898_44573aee19.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_06899_fdcd50779d.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_06900_b8028492d6.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_06905_bd4729758b.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/DSC_06906_1fad2518f2.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/tinh_chat_tram_tra_1_14c968a938.jpg***https://cdn.nhathuoclongchau.com.vn/unsafe/150x0/filters:quality(90)/https://cms-prod.s3-sgn09.fptcloud.com/tinh_chat_tram_tra_2_ac536fe8aa.jpg,https://nhathuoclongchau.com.vn/duoc-my-pham/sua-tam-giam-mun-lung-tinh-chat-tram-tra-neo-acness-250-ml.html
